COUNTRY,YEAR,TOTAL_BUDGET,PCT_DEFENSE,PCT_EDUCATION,PCT_HEALTH,PCT_SOCIAL_WELFARE,PCT_INFRASTRUCTURE,PCT_AGRICULTURE,PCT_INTEREST,PCT_STATE_TRANSFERS,PCT_ADMIN,AMT_DEFENSE,AMT_EDUCATION,AMT_HEALTH,AMT_SOCIAL_WELFARE,AMT_INFRASTRUCTURE
Argentina,1946,1.552,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.09,0.239,0.276,0.162,0.203
Argentina,1947,1.629,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.094,0.251,0.29,0.171,0.213
Argentina,1948,1.711,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.099,0.263,0.305,0.179,0.224
Argentina,1949,1.796,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.104,0.277,0.32,0.188,0.235
Argentina,1950,1.886,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.109,0.29,0.336,0.197,0.247
Argentina,1951,1.98,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.114,0.305,0.353,0.207,0.259
Argentina,1952,2.079,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.12,0.32,0.371,0.218,0.272
Argentina,1953,2.183,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.126,0.336,0.389,0.229,0.286
Argentina,1954,2.292,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.132,0.353,0.408,0.24,0.3
Argentina,1955,2.407,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.139,0.371,0.429,0.252,0.315
Argentina,1956,2.527,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.146,0.389,0.45,0.265,0.331
Argentina,1957,2.654,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.153,0.409,0.473,0.278,0.347
Argentina,1958,2.786,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.161,0.429,0.497,0.292,0.365
Argentina,1959,2.926,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.169,0.451,0.521,0.306,0.383
Argentina,1960,3.072,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.178,0.473,0.547,0.322,0.402
Argentina,1961,3.898,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.225,0.6,0.695,0.408,0.51
Argentina,1962,3.551,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.205,0.547,0.633,0.372,0.465
Argentina,1963,3.538,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.204,0.545,0.63,0.37,0.463
Argentina,1964,4.958,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.287,0.763,0.883,0.519,0.649
Argentina,1965,5.488,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.317,0.845,0.978,0.575,0.718
Argentina,1966,5.543,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.32,0.854,0.988,0.58,0.726
Argentina,1967,4.697,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.271,0.723,0.837,0.492,0.615
Argentina,1968,5.119,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.296,0.788,0.912,0.536,0.67
Argentina,1969,6.052,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.35,0.932,1.078,0.634,0.792
Argentina,1970,6.115,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.353,0.942,1.09,0.64,0.8
Argentina,1971,6.446,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.373,0.993,1.149,0.675,0.844
Argentina,1972,6.725,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.389,1.036,1.198,0.704,0.88
Argentina,1973,10.174,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.588,1.567,1.813,1.065,1.332
