COUNTRY,YEAR,TOTAL_BUDGET,BUDGET_RANK,PCT_DEFENSE,PCT_EDUCATION,PCT_HEALTH,PCT_SOCIAL_WELFARE,PCT_INFRASTRUCTURE
USA,1970,317.802,1,9.56,13.55,16.16,18.98,8.13
Russia,1970,87.851,2,6.91,8.95,9.72,11.56,14.44
Germany,1970,69.83,3,4.24,9.53,15.94,24.05,10.31
Canada,1970,67.706,4,15,5,14.82,21.06,9.03
Japan,1970,56.714,5,3.02,16.13,15.07,21.28,9.12
France,1970,53.556,6,5.77,11.51,5,25.45,10.91
UK,1970,44.011,7,11.31,12.67,15.97,17.95,7.69
Italy,1970,34.982,8,4.03,8.73,5,26.5,11.36
China,1970,30.608,9,13.21,9.56,6.09,9.92,19.84
Spain,1970,18.434,10,15,8.84,12.41,20.56,8.81
Brazil,1970,13.796,11,15,5,5,10.5,21
Netherlands,1970,13.548,12,4.93,12.07,12.28,23.65,10.14
Sweden,1970,12.399,13,4,9.8,11.8,24.74,10.6
Australia,1970,10.855,14,7.04,13.25,14.6,21.04,9.02
India,1970,10.637,15,14.78,13.32,3.05,8.63,17.26
Poland,1970,10.295,16,4.1,16.8,8.38,14.1,17.63
Romania,1970,7.088,17,11.82,14.73,5,13.05,16.31
Argentina,1970,6.115,18,5.78,15.4,17.82,10.47,13.09
Mexico,1970,5.516,19,1.72,12.15,9.9,10.12,20.24
Switzerland,1970,5.351,20,5.38,15.59,7.84,24.21,10.37
South Africa,1970,4.072,21,5.5,20.47,11.86,8.13,16.26
Turkey,1970,4.055,22,15,12.87,7.19,12.29,15.37
Chile,1970,3.548,23,14.85,13.52,10.96,11.53,14.41
Egypt,1970,3.486,24,9.79,15.35,6.66,9.77,19.53
Kazakhstan,1970,2.676,25,4.86,14.76,9.25,13.63,17.04
Greece,1970,2.558,26,10.81,8.38,9.61,22.9,9.81
Israel,1970,2.427,27,14.06,13.67,9.41,9.71,12.14
Portugal,1970,2.311,28,4.36,7.21,14.06,25.13,10.77
Iran,1970,2.298,29,14.48,18.35,10.95,10.13,12.66
Pakistan,1970,2.24,30,25.1,7.8,6.26,8.38,16.75
South Korea,1970,2.18,31,20.31,5,8.28,12.77,15.96
New Zealand,1970,1.932,32,4.59,8.19,14.71,22.2,9.52
Saudi Arabia,1970,1.71,33,35.44,14.71,9.16,7.69,9.61
Philippines,1970,1.629,34,12.48,15.24,6.52,3.96,7.91
Nigeria,1970,1.506,35,2.23,8.55,2.37,12.28,24.56
Colombia,1970,1.502,36,10.86,18.09,14.88,8.09,10.11
Vietnam,1970,1.492,37,7.55,18,9.48,8.99,17.99
Indonesia,1970,1.316,38,7.19,5.86,3.59,11.97,23.94
Bangladesh,1970,1.235,39,10.33,5.26,5.21,9.16,18.32
Thailand,1970,1.225,40,13.67,18.9,9.25,7.16,14.32
Peru,1970,1.2,41,8.33,15.25,10.77,11.8,14.75
Malaysia,1970,0.953,42,7.8,19.11,4.58,8.13,16.26
Ireland,1970,0.905,43,2.49,14.78,14.96,19.95,8.55
Singapore,1970,0.294,44,29.92,20.31,7.39,6.87,8.59
United Arab Emirates,1970,0.205,45,19.16,13.57,7.57,11.94,14.93
USA,1939,57.603,1,9.56,13.55,16.16,18.98,8.13
UK,1939,8.853,2,11.31,12.67,15.97,17.95,7.69
USA,1952,108.62,1,9.56,13.55,16.16,18.98,8.13
Russia,1952,36.504,2,6.91,8.95,9.72,11.56,14.44
Canada,1952,28.133,3,15,5,14.82,21.06,9.03
Germany,1952,18.462,4,4.24,9.53,15.94,24.05,10.31
UK,1952,16.694,5,11.31,12.67,15.97,17.95,7.69
France,1952,15.246,6,5.77,11.51,5,25.45,10.91
China,1952,13.367,7,13.21,9.56,6.09,9.92,19.84
Italy,1952,8.752,8,4.03,8.73,5,26.5,11.36
Japan,1952,8.38,9,3.02,16.13,15.07,21.28,9.12
Poland,1952,4.278,10,4.1,16.8,8.38,14.1,17.63
India,1952,4.271,11,14.78,13.32,3.05,8.63,17.26
Spain,1952,3.784,12,15,8.84,12.41,20.56,8.81
Brazil,1952,3.757,13,15,5,5,10.5,21
Sweden,1952,3.515,14,4,9.8,11.8,24.74,10.6
Australia,1952,3.308,15,7.04,13.25,14.6,21.04,9.02
Netherlands,1952,3.187,16,4.93,12.07,12.28,23.65,10.14
Romania,1952,2.945,17,11.82,14.73,5,13.05,16.31
Argentina,1952,2.079,18,5.78,15.4,17.82,10.47,13.09
Switzerland,1952,1.508,19,5.38,15.59,7.84,24.21,10.37
Mexico,1952,1.371,20,1.72,12.15,9.9,10.12,20.24
Egypt,1952,1.234,21,9.79,15.35,6.66,9.77,19.53
Turkey,1952,1.163,22,15,12.87,7.19,12.29,15.37
