COUNTRY,YEAR,CATEGORY,AMOUNT_BILLIONS,PERCENTAGE
Argentina,1946,Defense,0.09,5.78
Argentina,1947,Defense,0.094,5.78
Argentina,1948,Defense,0.099,5.78
Argentina,1949,Defense,0.104,5.78
Argentina,1950,Defense,0.109,5.78
Argentina,1951,Defense,0.114,5.78
Argentina,1952,Defense,0.12,5.78
Argentina,1953,Defense,0.126,5.78
Argentina,1954,Defense,0.132,5.78
Argentina,1955,Defense,0.139,5.78
Argentina,1956,Defense,0.146,5.78
Argentina,1957,Defense,0.153,5.78
Argentina,1958,Defense,0.161,5.78
Argentina,1959,Defense,0.169,5.78
Argentina,1960,Defense,0.178,5.78
Argentina,1961,Defense,0.225,5.78
Argentina,1962,Defense,0.205,5.78
Argentina,1963,Defense,0.204,5.78
Argentina,1964,Defense,0.287,5.78
Argentina,1965,Defense,0.317,5.78
Argentina,1966,Defense,0.32,5.78
Argentina,1967,Defense,0.271,5.78
Argentina,1968,Defense,0.296,5.78
Argentina,1969,Defense,0.35,5.78
Argentina,1970,Defense,0.353,5.78
Argentina,1971,Defense,0.373,5.78
Argentina,1972,Defense,0.389,5.78
Argentina,1973,Defense,0.588,5.78
Argentina,1974,Defense,0.811,5.78
Argentina,1975,Defense,0.587,5.78
Argentina,1976,Defense,0.573,5.78
Argentina,1977,Defense,0.635,5.78
Argentina,1978,Defense,0.997,5.78
Argentina,1979,Defense,0.775,5.78
Argentina,1980,Defense,0.861,5.78
Argentina,1981,Defense,0.88,5.78
Argentina,1982,Defense,0.944,5.78
Argentina,1983,Defense,1.164,5.78
Argentina,1984,Defense,1.308,5.78
Argentina,1985,Defense,0.987,5.78
Argentina,1986,Defense,1.185,5.78
Argentina,1987,Defense,1.218,5.78
Argentina,1988,Defense,1.42,5.78
Argentina,1989,Defense,0.858,5.78
Argentina,1990,Defense,1.582,5.78
Argentina,1991,Defense,2.304,5.78
Argentina,1992,Defense,2.926,5.78
Argentina,1993,Defense,3.665,5.78
Argentina,1994,Defense,4.086,5.68
Argentina,1995,Defense,4.323,5.76
Argentina,1996,Defense,3.785,4.89
Argentina,1997,Defense,3.719,4.51
Argentina,1998,Defense,3.716,4.39
Argentina,1999,Defense,3.819,4.29
Argentina,2000,Defense,3.651,4.07
Argentina,2001,Defense,3.433,4.01
Argentina,2002,Defense,1.612,4.47
Argentina,2003,Defense,2.046,4.31
Argentina,2004,Defense,2.001,3.84
Argentina,2005,Defense,3.177,3.47
Argentina,2006,Defense,3.171,2.96
Argentina,2007,Defense,3.55,2.68
Argentina,2008,Defense,4.131,2.48
Argentina,2009,Defense,3.943,2.57
Argentina,2010,Defense,4.762,2.44
Argentina,2011,Defense,5.349,2.19
Argentina,2012,Defense,5.358,2.13
Argentina,2013,Defense,5.672,2.23
Argentina,2014,Defense,5.48,2.26
Argentina,2015,Defense,5.746,2.06
Argentina,2016,Defense,5.337,1.95
Argentina,2017,Defense,6.037,2.06
Argentina,2018,Defense,4.194,1.88
Argentina,2019,Defense,3.404,1.84
Argentina,2020,Defense,3.234,1.73
Argentina,2021,Defense,3.489,1.67
Argentina,2022,Defense,4.731,1.82
Argentina,2023,Defense,5.117,2
Argentina,2024,Defense,4.854,1.93
Argentina,2025,Defense,5.194,1.93
Argentina,2026,Defense,5.376,1.93
Australia,1946,Defense,0.174,7.04
Australia,1947,Defense,0.182,7.04
Australia,1948,Defense,0.192,7.04
Australia,1949,Defense,0.201,7.04
Australia,1950,Defense,0.211,7.04
Australia,1951,Defense,0.222,7.04
Australia,1952,Defense,0.233,7.04
Australia,1953,Defense,0.245,7.04
Australia,1954,Defense,0.257,7.04
Australia,1955,Defense,0.27,7.04
Australia,1956,Defense,0.283,7.04
Australia,1957,Defense,0.297,7.04
Australia,1958,Defense,0.312,7.04
Australia,1959,Defense,0.328,7.04
Australia,1960,Defense,0.344,7.04
Australia,1961,Defense,0.364,7.04
Australia,1962,Defense,0.368,7.04
Australia,1963,Defense,0.398,7.04
Australia,1964,Defense,0.44,7.04
Australia,1965,Defense,0.48,7.04
Australia,1966,Defense,0.505,7.04
Australia,1967,Defense,0.563,7.04
Australia,1968,Defense,0.605,7.04
Australia,1969,Defense,0.678,7.04
Australia,1970,Defense,0.764,7.04
Australia,1971,Defense,0.836,7.04
Australia,1972,Defense,0.962,7.04
Australia,1973,Defense,1.206,7.04
Australia,1974,Defense,1.653,7.04
Australia,1975,Defense,2.119,7.04
Australia,1976,Defense,2.543,7.04
Australia,1977,Defense,2.669,7.04
Australia,1978,Defense,2.972,7.04
Australia,1979,Defense,3.273,7.04
Australia,1980,Defense,3.588,7.04
Australia,1981,Defense,4.267,7.04
Australia,1982,Defense,4.627,7.04
Australia,1983,Defense,4.641,7.04
Australia,1984,Defense,5.245,7.04
Australia,1985,Defense,4.887,7.04
Australia,1986,Defense,4.881,7.04
Australia,1987,Defense,4.984,7.04
Australia,1988,Defense,5.85,7.04
Australia,1989,Defense,6.694,6.92
Australia,1990,Defense,6.708,6.79
Australia,1991,Defense,7.193,6.55
Australia,1992,Defense,7.357,6.36
Australia,1993,Defense,7.231,6.38
Australia,1994,Defense,7.374,6.26
Australia,1995,Defense,8.155,6
Australia,1996,Defense,8.258,5.76
Australia,1997,Defense,8.581,5.69
Australia,1998,Defense,6.681,5.39
Australia,1999,Defense,7.233,5.21
Australia,2000,Defense,7.533,5.18
Australia,2001,Defense,7.558,5.23
Australia,2002,Defense,8.116,5.35
Australia,2003,Defense,9.232,5.28
Australia,2004,Defense,11.993,5.24
Australia,2005,Defense,13.444,5.2
Australia,2006,Defense,14.254,5.26
Australia,2007,Defense,16.049,5.28
Australia,2008,Defense,19.163,5.13
Australia,2009,Defense,18.195,5.09
Australia,2010,Defense,22.397,5.02
Australia,2011,Defense,25.591,4.84
Australia,2012,Defense,26.862,4.57
Australia,2013,Defense,26.769,4.51
Australia,2014,Defense,27.023,4.82
Australia,2015,Defense,27.559,5.24
Australia,2016,Defense,26.567,5.61
Australia,2017,Defense,27.981,5.45
Australia,2018,Defense,27.993,5.14
Australia,2019,Defense,25.607,4.83
Australia,2020,Defense,26.418,4.52
Australia,2021,Defense,35.017,4.74
Australia,2022,Defense,34.144,5.02
Australia,2023,Defense,34.856,5.01
Australia,2024,Defense,34.957,4.96
Australia,2025,Defense,35.783,4.96
Australia,2026,Defense,37.214,4.96
Bangladesh,1946,Defense,0.031,10.33
Bangladesh,1947,Defense,0.032,10.33
Bangladesh,1948,Defense,0.034,10.33
Bangladesh,1949,Defense,0.035,10.33
Bangladesh,1950,Defense,0.037,10.33
Bangladesh,1951,Defense,0.039,10.33
Bangladesh,1952,Defense,0.041,10.33
Bangladesh,1953,Defense,0.043,10.33
Bangladesh,1954,Defense,0.045,10.33
Bangladesh,1955,Defense,0.048,10.33
Bangladesh,1956,Defense,0.05,10.33
Bangladesh,1957,Defense,0.052,10.33
Bangladesh,1958,Defense,0.055,10.33
Bangladesh,1959,Defense,0.058,10.33
Bangladesh,1960,Defense,0.061,10.33
Bangladesh,1961,Defense,0.068,10.33
Bangladesh,1962,Defense,0.072,10.33
Bangladesh,1963,Defense,0.075,10.33
Bangladesh,1964,Defense,0.076,10.33
Bangladesh,1965,Defense,0.084,10.33
Bangladesh,1966,Defense,0.091,10.33
Bangladesh,1967,Defense,0.103,10.33
Bangladesh,1968,Defense,0.106,10.33
Bangladesh,1969,Defense,0.12,10.33
Bangladesh,1970,Defense,0.128,10.33
Bangladesh,1971,Defense,0.124,10.33
Bangladesh,1972,Defense,0.089,10.33
Bangladesh,1973,Defense,0.115,10.33
Bangladesh,1974,Defense,0.177,10.33
Bangladesh,1975,Defense,0.276,10.33
Bangladesh,1976,Defense,0.144,10.33
Bangladesh,1977,Defense,0.137,10.33
Bangladesh,1978,Defense,0.188,10.33
Bangladesh,1979,Defense,0.221,10.33
Bangladesh,1980,Defense,0.257,10.33
Bangladesh,1981,Defense,0.287,10.33
Bangladesh,1982,Defense,0.263,10.33
Bangladesh,1983,Defense,0.25,10.33
Bangladesh,1984,Defense,0.268,10.33
Bangladesh,1985,Defense,0.316,10.33
Bangladesh,1986,Defense,0.309,10.33
Bangladesh,1987,Defense,0.345,10.33
Bangladesh,1988,Defense,0.377,10.33
Bangladesh,1989,Defense,0.413,10.45
Bangladesh,1990,Defense,0.446,10.28
Bangladesh,1991,Defense,0.443,10.43
Bangladesh,1992,Defense,0.504,11.58
Bangladesh,1993,Defense,0.508,11.16
Bangladesh,1994,Defense,0.549,11.83
Bangladesh,1995,Defense,0.596,11.44
Bangladesh,1996,Defense,0.765,11.99
Bangladesh,1997,Defense,0.813,12.27
Bangladesh,1998,Defense,0.846,12.33
Bangladesh,1999,Defense,0.997,14.16
Bangladesh,2000,Defense,0.902,12.31
Bangladesh,2001,Defense,0.779,10.51
Bangladesh,2002,Defense,0.764,10.12
Bangladesh,2003,Defense,0.814,9.88
Bangladesh,2004,Defense,0.875,10.11
Bangladesh,2005,Defense,0.938,9.48
Bangladesh,2006,Defense,1.022,9.77
Bangladesh,2007,Defense,1.249,10.36
Bangladesh,2008,Defense,1.228,8.13
Bangladesh,2009,Defense,1.721,9.73
Bangladesh,2010,Defense,2.087,11.17
Bangladesh,2011,Defense,2.338,10.56
Bangladesh,2012,Defense,2.269,10.1
Bangladesh,2013,Defense,2.297,9.21
Bangladesh,2014,Defense,2.779,9.67
Bangladesh,2015,Defense,3.23,10.51
Bangladesh,2016,Defense,3.855,10.57
Bangladesh,2017,Defense,3.618,9.22
Bangladesh,2018,Defense,3.753,8.91
Bangladesh,2019,Defense,4.664,9.18
Bangladesh,2020,Defense,4.983,9.35
Bangladesh,2021,Defense,5.484,9.05
Bangladesh,2022,Defense,5.091,7.6
Bangladesh,2023,Defense,4.527,7.11
Bangladesh,2024,Defense,4.521,6.9
Bangladesh,2025,Defense,4.583,6.9
Bangladesh,2026,Defense,4.744,6.9
Brazil,1946,Defense,0.421,15
Brazil,1947,Defense,0.442,15
Brazil,1948,Defense,0.464,15
Brazil,1949,Defense,0.487,15
Brazil,1950,Defense,0.511,15
Brazil,1951,Defense,0.537,15
Brazil,1952,Defense,0.564,15
Brazil,1953,Defense,0.592,15
Brazil,1954,Defense,0.621,15
Brazil,1955,Defense,0.652,15
Brazil,1956,Defense,0.685,15
Brazil,1957,Defense,0.719,15
Brazil,1958,Defense,0.755,15
Brazil,1959,Defense,0.793,15
Brazil,1960,Defense,0.833,15
Brazil,1961,Defense,0.845,15
Brazil,1962,Defense,0.94,15
Brazil,1963,Defense,1.139,15
Brazil,1964,Defense,1.025,15
Brazil,1965,Defense,1.098,15
Brazil,1966,Defense,1.383,15
Brazil,1967,Defense,1.52,15
Brazil,1968,Defense,1.659,15
Brazil,1969,Defense,1.817,15
Brazil,1970,Defense,2.069,15
Brazil,1971,Defense,2.389,15
Brazil,1972,Defense,2.857,15
Brazil,1973,Defense,4.087,15
Brazil,1974,Defense,5.368,15
Brazil,1975,Defense,6.317,15
Brazil,1976,Defense,7.488,15
Brazil,1977,Defense,8.621,15
Brazil,1978,Defense,9.792,15
Brazil,1979,Defense,10.821,15
Brazil,1980,Defense,11.606,15
Brazil,1981,Defense,12.614,15
Brazil,1982,Defense,13.264,15
Brazil,1983,Defense,9.272,15
Brazil,1984,Defense,9.208,15
Brazil,1985,Defense,10.31,15
Brazil,1986,Defense,12.539,15
Brazil,1987,Defense,13.839,15
Brazil,1988,Defense,15.052,15
Brazil,1989,Defense,20.191,15
Brazil,1990,Defense,18.821,15
Brazil,1991,Defense,16.746,15
Brazil,1992,Defense,16.045,15
Brazil,1993,Defense,18.006,15
Brazil,1994,Defense,25.685,15
Brazil,1995,Defense,37.612,15
Brazil,1996,Defense,41.577,15
Brazil,1997,Defense,43.18,15
Brazil,1998,Defense,42.226,15
Brazil,1999,Defense,29.316,15
Brazil,2000,Defense,32.045,15
Brazil,2001,Defense,27.377,15
Brazil,2002,Defense,24.924,15
Brazil,2003,Defense,27.292,15
Brazil,2004,Defense,32.721,15
Brazil,2005,Defense,43.592,15
Brazil,2006,Defense,54.151,15
Brazil,2007,Defense,68.304,15
Brazil,2008,Defense,82.91,15
Brazil,2009,Defense,81.499,15
Brazil,2010,Defense,107.989,15
Brazil,2011,Defense,130.652,15
Brazil,2012,Defense,121.02,15
Brazil,2013,Defense,121.287,15
Brazil,2014,Defense,125.308,15
Brazil,2015,Defense,106.604,15
Brazil,2016,Defense,104.516,15
Brazil,2017,Defense,116.35,15
Brazil,2018,Defense,107.652,15
Brazil,2019,Defense,101.626,15
Brazil,2020,Defense,89.79,15
Brazil,2021,Defense,85.865,15
Brazil,2022,Defense,107.611,15
Brazil,2023,Defense,123.813,15
Brazil,2024,Defense,123.513,15
Brazil,2025,Defense,128.83,15
Brazil,2026,Defense,134.628,15
Canada,1946,Defense,3.149,15
Canada,1947,Defense,3.306,15
